,Well_Name,Well_Types
213,5161 Christine Dr,Residential Wells
214,5163-5165 Christine Dr,Residential Wells
215,5167 Christine Ct,Residential Wells
216,5171 Christine Ct,Residential Wells
217,5175 Christine Ct,Residential Wells
218,5179-5181 Christine Ct,Residential Wells
219,5183-5185 Christine Dr,Residential Wells
220,5188 Christine Dr,Residential Wells
221,520 North Wagner Rd,Residential Wells
222,521 Florence St,Residential Wells
223,523 Lakeview Ave,Residential Wells
224,524 Lakeview Ave,Residential Wells
225,530 North Wagner Rd,Residential Wells
226,530 W Delhi Rd,Residential Wells
227,531 Burwood,Residential Wells
228,531 W Delhi Rd,Residential Wells
229,541 Lakeview Ave,Residential Wells
230,544 Allison,Residential Wells
231,545 Allison,Residential Wells
232,548 W Delhi Rd,Residential Wells
233,55 W Delhi Rd,Residential Wells
234,553 W Delhi Rd,Residential Wells
235,557 Lakeview Ave,Residential Wells
236,564 North Wagner Rd,Residential Wells
237,565 Florence St,Residential Wells
238,572 Lakeview Ave,Residential Wells
239,575 W Delhi Rd,Residential Wells
240,577 Lakeview Ave,Residential Wells
241,579 South Wagner Rd,Residential Wells
242,580 Allison,Residential Wells
243,584 Allison,Residential Wells
244,584 Florence St,Residential Wells
245,591 South Wagner Rd,Residential Wells
246,592 Lakeview Ave,Residential Wells
247,593 Allison,Monitoring Wells
248,595 Sciomeadow Dr,Residential Wells
249,597 Allison,Residential Wells
250,597 Lakeview Ave,Residential Wells
251,598 Sciomeadow Dr,Residential Wells
252,602 Lakeview Ave,Residential Wells
253,603 Florence St,Residential Wells
254,603 South Wagner Rd,Residential Wells
255,609 South Wagner Rd,Residential Wells
256,610 North Wagner Rd,Residential Wells
257,616 Allison,Residential Wells
258,617 Lakeview Ave,Residential Wells
259,619 Ridgemont Ln,Residential Wells
260,627 Sciomeadow Dr,Residential Wells
261,630 Florence St,Residential Wells
262,630 Sciomeadow Dr,Residential Wells
263,637 Lakeview Ave,Residential Wells
264,639 Barber,Residential Wells
265,642 Ridgemont Ln,Residential Wells
266,647 Lakeview Ave,Residential Wells
267,659 Sciomeadow Dr,Residential Wells
268,663 Halcyon Ct,Residential Wells
269,665 Lakeview Ave,Residential Wells
270,670 Florence St,Residential Wells
271,672 Halcyon Ct,Residential Wells
272,672 Sciomeadow Dr,Residential Wells
273,679 Ridgemont Ln,Residential Wells
274,679 South Wagner Rd,Residential Wells
275,684 Ridgemont Ln,Residential Wells
276,685 South Wagner Rd,Residential Wells
277,687 Lakeview Ave,Residential Wells
278,691 Sciomeadow Dr,Residential Wells
279,697 South Wagner Rd,Residential Wells
280,701 Rose Drive,Residential Wells
281,704 Rose Drive,Residential Wells
282,705 Halcyon Ct,Residential Wells
283,706 Florence St,Residential Wells
284,707 Lakeview Ave,Residential Wells
285,712 Lakeview Ave,Residential Wells
286,712 North Wagner Rd,Residential Wells
287,714 Halcyon Ct,Residential Wells
288,714 Sciomeadow Dr,Residential Wells
289,715 Rose Drive,Residential Wells
290,723 S. Wagner Road,Residential Wells
291,728 Rose Drive,Residential Wells
292,731 Lakeview Ave,Residential Wells
293,739 Rose Drive,Residential Wells
294,740 North Wagner Rd,Residential Wells
295,740 Rose Drive,Residential Wells
296,745 S. Wagner Road,Residential Wells
297,747 Rose Drive,Residential Wells
298,75 W Delhi Rd,Residential Wells
299,751 Lakeview Ave,Residential Wells
300,752 Lakeview Ave,Residential Wells
301,752 Rose Drive,Residential Wells
302,755 Rose Drive,Residential Wells
303,761 Lakeview Ave,Residential Wells
304,764 Rose Drive,Residential Wells
305,772 North Wagner Rd,Residential Wells
306,772 South Wagner Rd,Residential Wells
307,776 Rose Drive,Residential Wells
308,777 S. Wagner Road,Residential Wells
309,783 Rose Drive,Residential Wells
310,788 Rose Drive,Residential Wells
311,79 W Delhi Rd,Residential Wells
312,819 Rose Drive,Residential Wells
313,825 Stonegate,Residential Wells
314,828 Rose Drive,Residential Wells
315,83 W Delhi Rd,Residential Wells
316,841 Rose Drive,Residential Wells
317,841 Waterman,Residential Wells
318,85 W Delhi Rd,Residential Wells
319,857 South Wagner Rd,Residential Wells
320,858 Rose Drive,Residential Wells
321,859 Rose Drive,Residential Wells
322,891 Rose Drive,Residential Wells
323,892 Rose Drive,Residential Wells
324,907 Rose Drive,Residential Wells
325,928 Rose Drive,Residential Wells
326,933 Rose Drive,Residential Wells
327,940 Rose Drive,Residential Wells
328,945 Rose Drive,Residential Wells
329,946 Rose Drive,Residential Wells
330,953 Rose Drive,Residential Wells
331,954 Rose Drive,Residential Wells
332,96 Burton Rd,Residential Wells
333,960 Newport,Residential Wells
334,98 Myrtle,Residential Wells
335,A2 Cleaning Supply,Monitoring Wells
336,AE-1,Not Applicable
337,AE-2,Extraction Wells
338,AE-3,Not Applicable
339,Allen Creek/Chapin St,Surface Water
