,WellName,Date,Concentration
0,MW-112d,2016-12-31,0.5
1,MW-112d,2017-12-31,0.5
2,MW-112d,2018-12-31,0.5
3,MW-112d,2019-12-31,0.5
4,MW-112d,2020-12-31,0.5
5,MW-61d,2016-12-31,1.9681480248723189
6,MW-61d,2017-12-31,1.9399221165609712
7,MW-61d,2018-12-31,1.9151248553839524
8,MW-61d,2019-12-31,1.8935184389262425
9,MW-61d,2020-12-31,1.8749396636288864
10,MW-42s,2016-12-31,0.5
11,MW-42s,2017-12-31,0.5
12,MW-42s,2018-12-31,0.5
13,MW-42s,2019-12-31,0.5
14,MW-42s,2020-12-31,0.5
15,593 Allison,2011-12-31,630.6261622244913
16,593 Allison,2012-12-31,671.3614318379955
17,593 Allison,2013-12-31,711.9946887243759
18,593 Allison,2014-12-31,752.6279456107565
19,593 Allison,2015-12-31,793.2612024971371
20,AMW-1,2016-12-31,336.0831266589029
21,AMW-1,2017-12-31,322.03910348091256
22,AMW-1,2018-12-31,250.9399445271647
23,AMW-1,2019-12-31,229.6001819606797
24,AMW-1,2020-12-31,218.9790480080856
25,MW-84s,2016-12-31,55.76347390119804
26,MW-84s,2017-12-31,67.04426320480127
27,MW-84s,2018-12-31,117.04367819215202
28,MW-84s,2019-12-31,440.2717511466881
29,MW-84s,2020-12-31,333.5228407084384
30,MW-82d,2012-12-31,0.9572047305143628
31,MW-82d,2013-12-31,1.0554983446069006
32,MW-82d,2014-12-31,1.113969884076711
33,MW-82d,2015-12-31,1.2051908139954035
34,MW-82d,2016-12-31,1.2549712853668482
35,2950 Valley,2007-12-31,0.5
36,2950 Valley,2008-12-31,0.5
37,2950 Valley,2009-12-31,0.5
38,2950 Valley,2010-12-31,0.5
39,2950 Valley,2011-12-31,0.5
40,MW-BE-1s,2016-12-31,161.71280439109964
41,MW-BE-1s,2017-12-31,320.6418066875469
42,MW-BE-1s,2018-12-31,457.182934672244
43,MW-BE-1s,2019-12-31,919.6418066875468
44,MW-BE-1s,2020-12-31,639.7128043910997
45,MW-62d,2016-12-31,0.5
46,MW-62d,2017-12-31,0.5
47,MW-62d,2018-12-31,0.5
48,MW-62d,2019-12-31,0.5
49,MW-62d,2020-12-31,0.5
50,2652 Dexter Rd,2007-12-31,15.338189052676912
51,2652 Dexter Rd,2008-12-31,26.676378105353823
52,2652 Dexter Rd,2009-12-31,38.01456715803074
53,2652 Dexter Rd,2010-12-31,49.35275621070765
54,2652 Dexter Rd,2011-12-31,60.69094526338456
55,MW-87s,2013-12-31,1125.5487490738842
56,MW-87s,2014-12-31,1130.970196601888
57,MW-87s,2015-12-31,933.1666594323056
58,MW-87s,2016-12-31,1290.0
