,WellName,Date,Concentration
0,841 Rose Drive,2020-12-31,0.0
1,841 Rose Drive,2021-12-31,0.0
2,841 Rose Drive,2022-12-31,0.0
3,841 Rose Drive,2023-12-31,0.0
4,841 Rose Drive,2024-12-31,0.0
5,116 LUELLA ST,2020-12-31,0.0
6,116 LUELLA ST,2021-12-31,0.0
7,116 LUELLA ST,2022-12-31,0.0
8,116 LUELLA ST,2023-12-31,0.0
9,116 LUELLA ST,2024-12-31,0.0
10,MW-112d,2020-12-31,0.0
11,MW-112d,2021-12-31,0.0
12,MW-112d,2022-12-31,0.0
13,MW-112d,2023-12-31,0.0
14,MW-112d,2024-12-31,0.0
15,4049 Pemberly,2020-12-31,0.0
16,4049 Pemberly,2021-12-31,0.0
17,4049 Pemberly,2022-12-31,0.0
18,4049 Pemberly,2023-12-31,0.0
19,4049 Pemberly,2024-12-31,0.0
20,2588 Dexter Rd,2020-12-31,0.0
21,2588 Dexter Rd,2021-12-31,0.0
22,2588 Dexter Rd,2022-12-31,0.0
23,2588 Dexter Rd,2023-12-31,0.0
24,2588 Dexter Rd,2024-12-31,0.0
25,MW-61d,2020-12-31,4.615488896973251
26,MW-61d,2021-12-31,4.971133030506215
27,MW-61d,2022-12-31,5.312418506373333
28,MW-61d,2023-12-31,5.733294092313915
29,MW-61d,2024-12-31,6.468742953345665
30,5134 JACKSON RD,2020-12-31,0.0
31,5134 JACKSON RD,2021-12-31,0.0
32,5134 JACKSON RD,2022-12-31,0.0
33,5134 JACKSON RD,2023-12-31,0.0
34,5134 JACKSON RD,2024-12-31,0.0
35,MW-42s,2020-12-31,0.0
36,MW-42s,2021-12-31,0.0
37,MW-42s,2022-12-31,0.0
38,MW-42s,2023-12-31,0.0
39,MW-42s,2024-12-31,0.0
40,4712 Breezewood Ct,2020-12-31,0.0
41,4712 Breezewood Ct,2021-12-31,0.0
42,4712 Breezewood Ct,2022-12-31,0.0
43,4712 Breezewood Ct,2023-12-31,0.0
44,4712 Breezewood Ct,2024-12-31,0.0
45,2100 South Wagner Rd,2020-12-31,0.0
46,2100 South Wagner Rd,2021-12-31,0.0
47,2100 South Wagner Rd,2022-12-31,0.0
48,2100 South Wagner Rd,2023-12-31,0.0
49,2100 South Wagner Rd,2024-12-31,0.0
50,4493 Kuebler Court,2020-12-31,0.0
51,4493 Kuebler Court,2021-12-31,0.0
52,4493 Kuebler Court,2022-12-31,0.0
53,4493 Kuebler Court,2023-12-31,0.0
54,4493 Kuebler Court,2024-12-31,0.0
55,3328 Dexter Rd,2020-12-31,0.0
56,3328 Dexter Rd,2021-12-31,0.0
57,3328 Dexter Rd,2022-12-31,0.0
58,3328 Dexter Rd,2023-12-31,0.0
59,3328 Dexter Rd,2024-12-31,0.0
60,593 Allison,2020-12-31,300.0
61,593 Allison,2021-12-31,300.0
62,593 Allison,2022-12-31,0.0
63,593 Allison,2023-12-31,0.0
64,593 Allison,2024-12-31,100.0
65,AMW-1,2020-12-31,380.1594944949271
66,AMW-1,2021-12-31,395.9972662618957
67,AMW-1,2022-12-31,421.8858633500466
68,AMW-1,2023-12-31,457.82528575938
69,AMW-1,2024-12-31,503.8430699976251
70,MW-84s,2020-12-31,319.93207336929765
71,MW-84s,2021-12-31,149.97627142895178
72,MW-84s,2022-12-31,26.59232342362821
73,MW-84s,2023-12-31,236.07466820611407
74,MW-84s,2024-12-31,248.850524583616
75,MW-137d,2020-12-31,0.0
76,MW-137d,2021-12-31,0.0
77,MW-137d,2022-12-31,0.0
78,MW-137d,2023-12-31,0.0
79,MW-137d,2024-12-31,0.0
80,RL-7,2020-12-31,0.0
81,RL-7,2021-12-31,0.0
82,RL-7,2022-12-31,0.0
83,RL-7,2023-12-31,0.0
84,RL-7,2024-12-31,0.0
85,MW-138i,2020-12-31,9.21177051462142
86,MW-138i,2021-12-31,9.27437048826958
87,MW-138i,2022-12-31,9.33697046191774
88,MW-138i,2023-12-31,9.3995704355659
89,MW-138i,2024-12-31,9.46217040921406
90,705 Halcyon Ct,2020-12-31,0.0
91,705 Halcyon Ct,2021-12-31,0.0
92,705 Halcyon Ct,2022-12-31,0.0
93,705 Halcyon Ct,2023-12-31,0.0
94,705 Halcyon Ct,2024-12-31,0.0
95,83 W DELHI RD,2020-12-31,0.0
96,83 W DELHI RD,2021-12-31,0.0
97,83 W DELHI RD,2022-12-31,0.0
98,83 W DELHI RD,2023-12-31,0.0
99,83 W DELHI RD,2024-12-31,0.0
100,3459 Ferry St,2020-12-31,0.0
101,3459 Ferry St,2021-12-31,0.0
102,3459 Ferry St,2022-12-31,0.0
103,3459 Ferry St,2023-12-31,0.0
104,3459 Ferry St,2024-12-31,0.0
105,2340 Dexter Rd,2020-12-31,441.7535004606424
106,2340 Dexter Rd,2021-12-31,441.7438939365576
107,2340 Dexter Rd,2022-12-31,441.743893936557
108,2340 Dexter Rd,2023-12-31,441.74389393655815
109,2340 Dexter Rd,2024-12-31,923.8283786215304
110,MW-131s,2020-12-31,0.0
111,MW-131s,2021-12-31,0.0
112,MW-131s,2022-12-31,0.0
113,MW-131s,2023-12-31,0.0
114,MW-131s,2024-12-31,0.0
115,3750 ELIZABETH RD,2020-12-31,0.0
116,3750 ELIZABETH RD,2021-12-31,0.0
117,3750 ELIZABETH RD,2022-12-31,0.0
118,3750 ELIZABETH RD,2023-12-31,0.0
119,3750 ELIZABETH RD,2024-12-31,0.0
120,MW-82d,2020-12-31,0.0
121,MW-82d,2021-12-31,0.0
122,MW-82d,2022-12-31,0.0
123,MW-82d,2023-12-31,0.0
124,MW-82d,2024-12-31,0.0
125,3627 ELIZABETH RD,2020-12-31,0.0
126,3627 ELIZABETH RD,2021-12-31,0.0
127,3627 ELIZABETH RD,2022-12-31,0.0
128,3627 ELIZABETH RD,2023-12-31,0.0
129,3627 ELIZABETH RD,2024-12-31,0.0
130,395 W DELHI RD,2020-12-31,0.0
131,395 W DELHI RD,2021-12-31,0.0
132,395 W DELHI RD,2022-12-31,0.0
133,395 W DELHI RD,2023-12-31,0.0
134,395 W DELHI RD,2024-12-31,0.0
135,701 Rose Drive,2020-12-31,0.0
136,701 Rose Drive,2021-12-31,0.0
137,701 Rose Drive,2022-12-31,0.0
138,701 Rose Drive,2023-12-31,0.0
139,701 Rose Drive,2024-12-31,0.0
140,2950 Valley,2020-12-31,0.0
141,2950 Valley,2021-12-31,0.0
142,2950 Valley,2022-12-31,0.0
143,2950 Valley,2023-12-31,0.0
144,2950 Valley,2024-12-31,0.0
145,384 W DELHI RD,2020-12-31,0.0
146,384 W DELHI RD,2021-12-31,0.0
147,384 W DELHI RD,2022-12-31,0.0
148,384 W DELHI RD,2023-12-31,0.0
149,384 W DELHI RD,2024-12-31,0.0
150,2700 Dexter Rd,2020-12-31,455.96429526625406
151,2700 Dexter Rd,2021-12-31,455.96429526625406
152,2700 Dexter Rd,2022-12-31,455.96429526625406
153,2700 Dexter Rd,2023-12-31,455.96429526625406
154,2700 Dexter Rd,2024-12-31,455.96429526625406
155,4315 W Liberty Rd,2020-12-31,0.0
156,4315 W Liberty Rd,2021-12-31,0.0
157,4315 W Liberty Rd,2022-12-31,0.0
158,4315 W Liberty Rd,2023-12-31,0.0
159,4315 W Liberty Rd,2024-12-31,0.0
160,4340 W Liberty Rd,2020-12-31,0.0
161,4340 W Liberty Rd,2021-12-31,0.0
162,4340 W Liberty Rd,2022-12-31,0.0
163,4340 W Liberty Rd,2023-12-31,0.0
164,4340 W Liberty Rd,2024-12-31,0.0
165,714 Halcyon Ct,2020-12-31,0.0
166,714 Halcyon Ct,2021-12-31,0.0
167,714 Halcyon Ct,2022-12-31,0.0
168,714 Halcyon Ct,2023-12-31,0.0
169,714 Halcyon Ct,2024-12-31,0.0
170,MW-138s,2020-12-31,0.0
171,MW-138s,2021-12-31,0.0
172,MW-138s,2022-12-31,0.0
173,MW-138s,2023-12-31,0.0
174,MW-138s,2024-12-31,0.0
175,3586 ELIZABETH RD,2020-12-31,0.0
176,3586 ELIZABETH RD,2021-12-31,0.0
177,3586 ELIZABETH RD,2022-12-31,0.0
