"Number","Well name","Trend","Historical High","2021 Prediction","2022 Prediction","2023 Prediction","2024 Prediction","2025 Prediction","Prediction High","Below detectable level (1 ppb)","Below trigger for responese level (4 ppb)","Below current drinking water standard (7.2 ppb)","Below previous drinking water standard (85 ppb)",""
"131","MW-44","no trend","3","0.480502951","0.480319564","0.480136176","0.479953526","0.479770139","0.480502951","1","1","1","1",""
"132","MW-45d","decreasing","4570","163.6907405","144.3416903","127.2797929","112.2346957","98.96800294","163.6907405","","","","",""
"133","MW-45s","decreasing","618","1.3","1.3","1.3","1.3","1.3","1.3","","1","1","1",""
"134","MW-46","decreasing","1550","119.6784206","119.2047295","118.7310383","118.2573472","117.7836561","119.6784206","","","","",""
"135","MW-47d","decreasing","6","0.499997132","0.499991166","0.499977319","0.499950059","0.49989585","0.499997132","1","1","1","1",""
"136","MW-47s","no trend","1","0.499999996","0.499999996","0.499999996","0.499999996","0.499999996","0.499999996","1","1","1","1",""
"137","MW-48","decreasing","890","17","17","17","17","17","17","","","","1",""
"138","MW-49","no trend","80","0.5","0.5","0.5","0.5","0.5","0.5","1","1","1","1",""
"139","MW-4d","decreasing","3200","875.6813679","842.2069229","808.732473","775.1650898","741.6906646","875.6813679","","","","",""
"140","MW-4s","no trend","12","2.000465457","2.000932189","2.001397646","2.001863103","2.00232856","2.00232856","","1","1","1",""
"141","MW-50","decreasing","2751","812.1217538","828.5122632","844.9027727","861.3381876","877.728697","877.728697","","","","",""
"142","MW-52d","no trend","35","0.5","0.5","0.5","0.5","0.5","0.5","1","1","1","1",""
"143","MW-52i","no trend","35","6.017111674","6.211926628","8.934119303","9","9","9","","","","1",""
"144","MW-52s","decreasing","1862","272.1666667","218.0770854","80.4104187","0","0","272.1666667","","","","",""
"145","MW-53d","decreasing","23","0.5","0.5","0.5","0.5","0.5","0.5","1","1","1","1",""
"146","MW-53i","decreasing","190","30.37632456","28.38112771","26.38675347","26","26","30.37632456","","","","1",""
"147","MW-53s","no trend","4","0.499930745","0.499861489","0.499792234","0.499722788","0.499653533","0.499930745","1","1","1","1",""
"148","MW-54d","increasing","94","32.03628485","51.54922458","0","2.187318516","5.489977023","51.54922458","","","","1",""
"149","MW-54s","no trend","8","0.5","0.5","0.5","0.5","0.5","0.5","1","1","1","1",""
"150","MW-55","increasing","37","25.88971252","26.39652663","27.16142332","28.01403462","28.89374222","28.89374222","","","","1",""
"151","MW-56d","no trend","42","0.5","0.5","0.5","0.5","0.5","0.5","1","1","1","1",""
"152","MW-56s","decreasing","978","70","70","70","70","70","70","","","","1",""
"153","MW-57","decreasing","33","2.996094162","3.018999848","3.041193659","3.062817188","3.083621623","3.083621623","","1","1","1",""
"154","MW-58d","increasing","46","12.46975278","12.72149813","13.15376715","13.4198937","13.59980598","13.59980598","","","","1",""
"155","MW-58s","decreasing","1713","187.0219694","185.4770416","183.9870996","182.5501865","181.164415","187.0219694","","","","",""
"156","MW-59d","no trend","59","0.5","0.5","0.5","0.5","0.5","0.5","1","1","1","1",""
"157","MW-59s","no trend","4","0.5","0.5","0.5","0.5","0.5","0.5","1","1","1","1",""
"158","MW-5d","decreasing","199000","0","0","0","0","0","0","1","1","1","1",""
"159","MW-60","decreasing","47","3.123262307","3.048364825","2.975263424","0","0","3.123262307","","1","1","1",""
"160","MW-61d","no trend","10","11.29102837","14.64200508","18.98749216","24.62264264","31.93020571","31.93020571","","","","1",""
"161","MW-61s","decreasing","49","1.690187813","0","0","0","0","1.690187813","","1","1","1",""
"162","MW-63i","no trend","14","0.5","0.5","0.5","0.5","0.5","0.5","1","1","1","1",""
"163","MW-64","decreasing","3250","38","38","38","38","38","38","","","","1",""
"164","MW-65d","decreasing","800","19.32857191","18.6986493","18.10652814","17.54890667","17.0228567","19.32857191","","","","1",""
"165","MW-65i","decreasing","286","3.438196096","3.672361521","3.902543872","4.128780167","4.351129102","4.351129102","","","1","1",""
"166","MW-65s","decreasing","102","7.480169202","6.745083135","6.083615089","5.485879342","4.947841279","7.480169202","","","","1",""
"167","MW-66","no trend","5","1.856119472","1.882182215","1.908244957","1.934379105","1.960441847","1.960441847","","1","1","1",""
"168","MW-68","no trend","50","0.5","0.5","0.5","0.5","0.5","0.5","1","1","1","1",""
"169","MW-69","no trend","4","0.5","0.5","0.5","0.5","0.5","0.5","1","1","1","1",""
"170","MW-71","increasing","2300","715.2549139","740.0068716","538.8675135","629.5058626","637.4567886","740.0068716","","","","",""
"171","MW-72d","decreasing","3788","205.9434597","207.3444969","204.0039155","196.029745","183.8753909","207.3444969","","","","",""
"172","MW-72s","decreasing","168","0","0","0","0","0","0","1","1","1","1",""
"173","MW-75","no trend","1500","115.1516139","0","0","0","0","115.1516139","","","","",""
"174","MW-76d","increasing","5","1.14532973","2.204876434","2.264423137","2.32396984","3.383516544","3.383516544","","1","1","1",""
"175","MW-76i","increasing","130","89","90","91","92","93","93","","","","",""
"176","MW-76s","increasing","370","358","349","378","378","361","378","","","","",""
"177","MW-77","increasing","2000","891.959282","680.5148129","505.1085877","406.7675472","318.7439421","891.959282","","","","",""
"178","MW-78","decreasing","83","22.76378178","22.23295216","21.73287192","21.25948485","20.81291487","22.76378178","","","","1",""
"179","MW-79d","decreasing","129","0.5","0.5","0.5","0.5","4.068458961","4.068458961","","","1","1",""
"180","MW-79s","decreasing","1222","431.7640319","440.259752","448.7554721","457.2817429","465.777463","465.777463","","","","",""
"181","MW-81","increasing","550","52.90501933","0","0","0","0","52.90501933","","","","1",""
"182","MW-82d","no trend","2","0.643216715","0.662980212","0.652089799","0.63557259","0.585667502","0.662980212","1","1","1","1",""
"183","MW-82s","increasing","370","366.9900688","394.4668835","422.4184742","450.8364347","479.7119348","479.7119348","","","","",""
"184","MW-83s","increasing","645","461.1440254","492.2880508","523.4320762","554.5761017","585.7201271","585.7201271","","","","",""
"185","MW-84d","no trend","3","1.682014193","1.723466666","1.765033019","1.806599373","1.848393487","1.848393487","","1","1","1",""
"186","MW-84s","decreasing","908","63.83862984","59.79025523","55.74188061","51.693506","47.64513139","63.83862984","","","","1",""
"187","MW-85","decreasing","2476","523.25","486.5","449.75","413","376.25","523.25","","","","",""
"188","MW-87d","no trend","1722","368.1407652","347.7300123","368.4207069","386.644441","216.0215572","386.644441","","","","",""
"189","MW-87s","increasing","1505","45.49402374","50.306852","60.08180029","236.7162758","356.9909132","356.9909132","","","","",""
"190","MW-88","decreasing","1330","115.6","78.608","53.45344","36.3483392","24.71687066","115.6","","","","",""
"191","MW-89","no trend","16","0.502690344","0.502839064","0.502987807","0.503136571","0.503285357","0.503285357","1","1","1","1",""
"192","MW-8d","no trend","15","0.5","0.5","0.5","0.5","0.5","0.5","1","1","1","1",""
"193","MW-8s","decreasing","578","12.93060947","22.15292322","24.63439675","14.34358945","15.20433373","24.63439675","","","","1",""
"194","MW-90","increasing","62","7.351536323","5.04490966","2.738282997","0.431656333","0","7.351536323","","","","1",""
"195","MW-91","increasing","250","108.4753834","98.46834746","88.46131157","78.46131157","68.45427568","108.4753834","","","","",""
"196","MW-92","increasing","72","69.81134111","88.30447645","120.454439","161.4995","210.4337405","210.4337405","","","","",""
"197","MW-93","decreasing","49","0.757310606","0.5","0.5","0.5","0.5","0.757310606","1","1","1","1",""
