,WellName,Date,Concentration
115,359-Pinewood,2015-12-31,39.54190772605643
116,359-Pinewood,2016-12-31,40.23127771388671
117,359-Pinewood,2017-12-31,40.92646185881664
118,359-Pinewood,2018-12-31,41.62941918745905
119,359-Pinewood,2019-12-31,42.34023661546855
120,LS-1,2015-12-31,2.710711250896836
121,LS-1,2016-12-31,3.0050888350562346
122,LS-1,2017-12-31,3.343922727324104
123,LS-1,2018-12-31,3.73680146478769
124,LS-1,2019-12-31,4.196091753957332
125,928-Rose-Drive,2015-12-31,0.0
126,928-Rose-Drive,2016-12-31,0.0
127,928-Rose-Drive,2017-12-31,0.0
128,928-Rose-Drive,2018-12-31,0.0
129,928-Rose-Drive,2019-12-31,0.0
130,TW-8,2015-12-31,598.6427169657495
131,TW-8,2016-12-31,593.435319891405
132,TW-8,2017-12-31,588.2279228170606
133,TW-8,2018-12-31,583.0205257427162
134,TW-8,2019-12-31,577.8131286683717
135,MW-136d,2015-12-31,0.0
136,MW-136d,2016-12-31,0.0
137,MW-136d,2017-12-31,0.0
138,MW-136d,2018-12-31,0.0
139,MW-136d,2019-12-31,0.0
140,4530-Jackson-Rd,2015-12-31,0.0
141,4530-Jackson-Rd,2016-12-31,0.0
142,4530-Jackson-Rd,2017-12-31,0.0
143,4530-Jackson-Rd,2018-12-31,0.0
144,4530-Jackson-Rd,2019-12-31,0.0
145,MW-18d,2015-12-31,160.597914278146
146,MW-18d,2016-12-31,152.5829546712858
147,MW-18d,2017-12-31,144.35365886002432
148,MW-18d,2018-12-31,135.98130100554278
149,MW-18d,2019-12-31,127.53688266656134
150,NMW-2s,2015-12-31,
151,NMW-2s,2016-12-31,
152,NMW-2s,2017-12-31,
153,NMW-2s,2018-12-31,
154,NMW-2s,2019-12-31,
155,MW-39s,2015-12-31,8.201345454599682
156,MW-39s,2016-12-31,7.645435993627949
157,MW-39s,2017-12-31,6.482310378266785
158,MW-39s,2018-12-31,3.836196574503443
159,MW-39s,2019-12-31,1.635079735367654
160,MW-139i,2015-12-31,0.0
161,MW-139i,2016-12-31,0.0
162,MW-139i,2017-12-31,0.0
163,MW-139i,2018-12-31,0.0
164,MW-139i,2019-12-31,0.0
165,MW-65d,2015-12-31,29.4253336093974
166,MW-65d,2016-12-31,29.4253336093974
167,MW-65d,2017-12-31,29.4253336093974
168,MW-65d,2018-12-31,29.4253336093974
169,MW-65d,2019-12-31,29.4253336093974
170,MW-128d,2015-12-31,0.0
171,MW-128d,2016-12-31,0.0
172,MW-128d,2017-12-31,0.0
173,MW-128d,2018-12-31,0.0
174,MW-128d,2019-12-31,0.0
175,355-W-Delhi-Rd,2015-12-31,0.0
176,355-W-Delhi-Rd,2016-12-31,0.0
177,355-W-Delhi-Rd,2017-12-31,0.0
178,355-W-Delhi-Rd,2018-12-31,0.0
179,355-W-Delhi-Rd,2019-12-31,0.0
180,LS-3,2015-12-31,2.69012836092607
181,LS-3,2016-12-31,2.69012836092607
182,LS-3,2017-12-31,2.69012836092607
183,LS-3,2018-12-31,2.69012836092607
184,LS-3,2019-12-31,2.69012836092607
185,RL-17,2015-12-31,0.0
186,RL-17,2016-12-31,0.0
187,RL-17,2017-12-31,0.0
188,RL-17,2018-12-31,0.0
189,RL-17,2019-12-31,0.0
190,TW-22,2015-12-31,568.8129224087852
191,TW-22,2016-12-31,568.8129224087852
192,TW-22,2017-12-31,568.8129224087852
193,TW-22,2018-12-31,568.8129224087852
194,TW-22,2019-12-31,568.8129224087852
195,MW-56s,2015-12-31,67.5619422956614
196,MW-56s,2016-12-31,62.02353608171085
197,MW-56s,2017-12-31,53.2220937879617
198,MW-56s,2018-12-31,40.36514299044483
199,MW-56s,2019-12-31,21.150564347269437
200,MW-124d,2015-12-31,0.0
201,MW-124d,2016-12-31,0.0
202,MW-124d,2017-12-31,0.0
203,MW-124d,2018-12-31,0.0
204,MW-124d,2019-12-31,0.0
205,98-MYRTLE,2015-12-31,0.0
206,98-MYRTLE,2016-12-31,0.0
207,98-MYRTLE,2017-12-31,0.0
208,98-MYRTLE,2018-12-31,0.0
209,98-MYRTLE,2019-12-31,0.0
210,MW-105s,2015-12-31,197.0827258520544
211,MW-105s,2016-12-31,0.0
212,MW-105s,2017-12-31,0.0
213,MW-105s,2018-12-31,0.0
214,MW-105s,2019-12-31,0.0
215,MW-14d,2015-12-31,0.0
216,MW-14d,2016-12-31,0.0
217,MW-14d,2017-12-31,0.0
218,MW-14d,2018-12-31,0.0
219,MW-14d,2019-12-31,0.0
220,IW-1,2015-12-31,0.0
221,IW-1,2016-12-31,0.0
222,IW-1,2017-12-31,0.0
223,IW-1,2018-12-31,0.0
224,IW-1,2019-12-31,0.0
225,597-Lakeview-Ave,2015-12-31,0.0
226,597-Lakeview-Ave,2016-12-31,0.0
227,597-Lakeview-Ave,2017-12-31,0.0
228,597-Lakeview-Ave,2018-12-31,0.0
229,597-Lakeview-Ave,2019-12-31,0.0
230,MW-112d,2015-12-31,0.0
231,MW-112d,2016-12-31,0.0
232,MW-112d,2017-12-31,0.0
233,MW-112d,2018-12-31,0.0
234,MW-112d,2019-12-31,0.0
235,841-Waterman,2015-12-31,0.0
236,841-Waterman,2016-12-31,0.0
237,841-Waterman,2017-12-31,0.0
238,841-Waterman,2018-12-31,0.0
239,841-Waterman,2019-12-31,0.0
240,MW-41d,2015-12-31,28.4705065362293
241,MW-41d,2016-12-31,26.201451629693103
242,MW-41d,2017-12-31,23.932396723156906
243,MW-41d,2018-12-31,21.663341816620708
244,MW-41d,2019-12-31,19.39428691008451
245,MW-133s,2015-12-31,1.75150957568914
246,MW-133s,2016-12-31,1.75150957568914
247,MW-133s,2017-12-31,1.75150957568914
248,MW-133s,2018-12-31,1.75150957568914
249,MW-133s,2019-12-31,1.75150957568914
250,MW-9d,2015-12-31,0.0
251,MW-9d,2016-12-31,0.0
252,MW-9d,2017-12-31,0.0
253,MW-9d,2018-12-31,0.0
254,MW-9d,2019-12-31,0.0
255,404-Adrienne-Lane,2015-12-31,0.0
256,404-Adrienne-Lane,2016-12-31,0.0
257,404-Adrienne-Lane,2017-12-31,0.0
258,404-Adrienne-Lane,2018-12-31,0.0
259,404-Adrienne-Lane,2019-12-31,0.0
260,MW-117,2015-12-31,0.0
261,MW-117,2016-12-31,0.0
262,MW-117,2017-12-31,0.0
263,MW-117,2018-12-31,0.0
264,MW-117,2019-12-31,0.0
265,373-Pinewood-Deep,2015-12-31,0.0
266,373-Pinewood-Deep,2016-12-31,0.0
267,373-Pinewood-Deep,2017-12-31,0.0
268,373-Pinewood-Deep,2018-12-31,0.0
269,373-Pinewood-Deep,2019-12-31,0.0
270,3050-Jackson-Rd,2015-12-31,176.46881975141966
271,3050-Jackson-Rd,2016-12-31,176.46881975141966
272,3050-Jackson-Rd,2017-12-31,176.46881975141966
273,3050-Jackson-Rd,2018-12-31,176.46881975141966
274,3050-Jackson-Rd,2019-12-31,176.46881975141966
275,946-Rose-Drive,2015-12-31,0.0
276,946-Rose-Drive,2016-12-31,0.0
277,946-Rose-Drive,2017-12-31,0.0
278,946-Rose-Drive,2018-12-31,0.0
279,946-Rose-Drive,2019-12-31,0.0
280,RL-4,2015-12-31,0.0
281,RL-4,2016-12-31,0.0
282,RL-4,2017-12-31,0.0
283,RL-4,2018-12-31,0.0
284,RL-4,2019-12-31,0.0
285,MW-72s,2015-12-31,0.0
286,MW-72s,2016-12-31,0.0
287,MW-72s,2017-12-31,0.0
288,MW-72s,2018-12-31,0.0
289,MW-72s,2019-12-31,0.0
290,MW-5d,2015-12-31,16210.0475650651
291,MW-5d,2016-12-31,16026.7467705178
292,MW-5d,2017-12-31,15843.4459759705
293,MW-5d,2018-12-31,15660.1451814232
294,MW-5d,2019-12-31,15476.8443868759
295,MW-121s,2015-12-31,0.0
296,MW-121s,2016-12-31,0.0
297,MW-121s,2017-12-31,0.0
298,MW-121s,2018-12-31,0.0
299,MW-121s,2019-12-31,0.0
300,MW-53d,2015-12-31,0.7763991071145282
