,Bore,Depth1,Depth2,SampleDate,Value,Elevation,lat,lon
0,110 Parkland Plaza,80.2,91.0,1986-08-22 00:00:00,17.0,936.1181,42.28318789911573,-83.81420404218679
1,110 Parkland Plaza,80.2,91.0,1986-09-19 00:00:00,17.0,936.1181,42.28318789911573,-83.81420404218679
2,110 Parkland Plaza,80.2,91.0,1986-10-10 00:00:00,12.0,936.1181,42.28318789911573,-83.81420404218679
3,110 Parkland Plaza,80.2,91.0,1987-11-09 00:00:00,7.0,936.1181,42.28318789911573,-83.81420404218679
4,110 Parkland Plaza,80.2,91.0,1988-04-18 00:00:00,13.0,936.1181,42.28318789911573,-83.81420404218679
5,110 Parkland Plaza,80.2,91.0,1988-12-09 00:00:00,14.0,936.1181,42.28318789911573,-83.81420404218679
6,110 Parkland Plaza,80.2,91.0,1989-07-19 00:00:00,11.0,936.1181,42.28318789911573,-83.81420404218679
7,110 Parkland Plaza,80.2,91.0,1990-01-30 00:00:00,12.0,936.1181,42.28318789911573,-83.81420404218679
8,110 Parkland Plaza,80.2,91.0,1990-08-01 00:00:00,8.0,936.1181,42.28318789911573,-83.81420404218679
9,110 Parkland Plaza,80.2,91.0,1991-01-23 00:00:00,10.0,936.1181,42.28318789911573,-83.81420404218679
10,110 Parkland Plaza,80.2,91.0,1991-08-22 00:00:00,10.0,936.1181,42.28318789911573,-83.81420404218679
11,110 Parkland Plaza,80.2,91.0,1992-07-23 00:00:00,8.0,936.1181,42.28318789911573,-83.81420404218679
12,110 Parkland Plaza,80.2,91.0,1993-03-03 00:00:00,9.0,936.1181,42.28318789911573,-83.81420404218679
13,110 Parkland Plaza,80.2,91.0,1993-08-23 00:00:00,9.0,936.1181,42.28318789911573,-83.81420404218679
14,110 Parkland Plaza,80.2,91.0,1998-12-21 00:00:00,3.0,936.1181,42.28318789911573,-83.81420404218679
15,110 Parkland Plaza,80.2,91.0,1999-08-19 00:00:00,2.0,936.1181,42.28318789911573,-83.81420404218679
16,110 Parkland Plaza,80.2,91.0,1999-11-12 00:00:00,5.0,936.1181,42.28318789911573,-83.81420404218679
17,110 Parkland Plaza,80.2,91.0,2000-02-15 00:00:00,8.0,936.1181,42.28318789911573,-83.81420404218679
18,110 Parkland Plaza,80.2,91.0,2000-08-16 00:00:00,7.0,936.1181,42.28318789911573,-83.81420404218679
19,110 Parkland Plaza,80.2,91.0,2001-01-29 00:00:00,6.0,936.1181,42.28318789911573,-83.81420404218679
20,110 Parkland Plaza,80.2,91.0,2001-05-10 00:00:00,5.0,936.1181,42.28318789911573,-83.81420404218679
21,110 Parkland Plaza,80.2,91.0,2001-07-24 00:00:00,9.0,936.1181,42.28318789911573,-83.81420404218679
22,110 Parkland Plaza,80.2,91.0,2001-11-03 00:00:00,9.0,936.1181,42.28318789911573,-83.81420404218679
23,110 Parkland Plaza,80.2,91.0,2002-01-10 00:00:00,5.0,936.1181,42.28318789911573,-83.81420404218679
24,110 Parkland Plaza,80.2,91.0,2002-04-18 00:00:00,6.0,936.1181,42.28318789911573,-83.81420404218679
25,110 Parkland Plaza,80.2,91.0,2002-07-28 00:00:00,10.0,936.1181,42.28318789911573,-83.81420404218679
26,110 Parkland Plaza,80.2,91.0,2002-11-03 00:00:00,8.0,936.1181,42.28318789911573,-83.81420404218679
27,110 Parkland Plaza,80.2,91.0,2003-01-28 00:00:00,9.0,936.1181,42.28318789911573,-83.81420404218679
28,110 Parkland Plaza,80.2,91.0,2003-05-01 00:00:00,7.0,936.1181,42.28318789911573,-83.81420404218679
29,110 Parkland Plaza,80.2,91.0,2003-07-09 00:00:00,8.0,936.1181,42.28318789911573,-83.81420404218679
30,110 Parkland Plaza,80.2,91.0,2003-10-03 00:00:00,8.0,936.1181,42.28318789911573,-83.81420404218679
31,110 Parkland Plaza,80.2,91.0,2004-02-02 00:00:00,8.0,936.1181,42.28318789911573,-83.81420404218679
32,110 Parkland Plaza,80.2,91.0,2004-04-27 00:00:00,7.0,936.1181,42.28318789911573,-83.81420404218679
33,110 Parkland Plaza,80.2,91.0,2004-10-11 00:00:00,7.0,936.1181,42.28318789911573,-83.81420404218679
34,110 Parkland Plaza,80.2,91.0,2005-05-02 00:00:00,5.0,936.1181,42.28318789911573,-83.81420404218679
35,110 Parkland Plaza,80.2,91.0,2005-11-09 00:00:00,5.0,936.1181,42.28318789911573,-83.81420404218679
36,110 Parkland Plaza,80.2,91.0,2006-05-03 00:00:00,6.0,936.1181,42.28318789911573,-83.81420404218679
37,110 Parkland Plaza,80.2,91.0,2006-10-11 00:00:00,5.0,936.1181,42.28318789911573,-83.81420404218679
38,110 Parkland Plaza,80.2,91.0,2007-05-21 00:00:00,5.0,936.1181,42.28318789911573,-83.81420404218679
39,110 Parkland Plaza,80.2,91.0,2007-10-11 00:00:00,6.0,936.1181,42.28318789911573,-83.81420404218679
40,110 Parkland Plaza,80.2,91.0,2008-07-29 00:00:00,5.0,936.1181,42.28318789911573,-83.81420404218679
41,110 Parkland Plaza,80.2,91.0,2009-08-10 00:00:00,4.0,936.1181,42.28318789911573,-83.81420404218679
42,110 Parkland Plaza,80.2,91.0,2010-07-29 00:00:00,4.0,936.1181,42.28318789911573,-83.81420404218679
43,110 Parkland Plaza,80.2,91.0,2011-09-17 00:00:00,3.0,936.1181,42.28318789911573,-83.81420404218679
44,110 Parkland Plaza,80.2,91.0,2012-08-14 00:00:00,3.0,936.1181,42.28318789911573,-83.81420404218679
45,110 Parkland Plaza,80.2,91.0,2013-07-18 00:00:00,5.0,936.1181,42.28318789911573,-83.81420404218679
46,110 Parkland Plaza,80.2,91.0,2014-08-01 00:00:00,2.0,936.1181,42.28318789911573,-83.81420404218679
47,110 Parkland Plaza,80.2,91.0,2015-07-30 00:00:00,2.0,936.1181,42.28318789911573,-83.81420404218679
48,110 Parkland Plaza,80.2,91.0,2016-09-07 00:00:00,2.5,936.1181,42.28318789911573,-83.81420404218679
49,110 Parkland Plaza,80.2,91.0,2017-07-26 00:00:00,1.6,936.1181,42.28318789911573,-83.81420404218679
50,110 Parkland Plaza,80.2,91.0,2018-08-14 00:00:00,1.4,936.1181,42.28318789911573,-83.81420404218679
51,110 Parkland Plaza,80.2,91.0,2019-09-12 00:00:00,1.2,936.1181,42.28318789911573,-83.81420404218679
52,110 Parkland Plaza,80.2,91.0,2020-07-10 00:00:00,1.0,936.1181,42.28318789911573,-83.81420404218679
53,170 Aprill,46.0,50.0,1986-01-24 00:00:00,1.0,907.2557,42.28230953107742,-83.80799595417352
54,170 Aprill,46.0,50.0,1986-08-01 00:00:00,1.0,907.2557,42.28230953107742,-83.80799595417352
55,170 Aprill,46.0,50.0,1987-05-27 00:00:00,9.0,907.2557,42.28230953107742,-83.80799595417352
56,170 Aprill,46.0,50.0,1988-04-21 00:00:00,6.0,907.2557,42.28230953107742,-83.80799595417352
57,170 Aprill,46.0,50.0,1988-12-09 00:00:00,24.0,907.2557,42.28230953107742,-83.80799595417352
58,170 Aprill,46.0,50.0,1989-07-19 00:00:00,16.0,907.2557,42.28230953107742,-83.80799595417352
59,170 Aprill,46.0,50.0,1990-01-30 00:00:00,17.0,907.2557,42.28230953107742,-83.80799595417352
60,170 Aprill,46.0,50.0,1990-06-13 00:00:00,12.0,907.2557,42.28230953107742,-83.80799595417352
61,170 Aprill,46.0,50.0,1990-08-01 00:00:00,9.0,907.2557,42.28230953107742,-83.80799595417352
62,170 Aprill,46.0,50.0,1991-01-17 00:00:00,11.0,907.2557,42.28230953107742,-83.80799595417352
63,170 Aprill,46.0,50.0,1991-08-14 00:00:00,15.0,907.2557,42.28230953107742,-83.80799595417352
64,170 Aprill,46.0,50.0,1992-01-15 00:00:00,15.0,907.2557,42.28230953107742,-83.80799595417352
65,170 Aprill,46.0,50.0,1992-07-23 00:00:00,9.0,907.2557,42.28230953107742,-83.80799595417352
66,170 Aprill,46.0,50.0,1993-03-03 00:00:00,9.0,907.2557,42.28230953107742,-83.80799595417352
67,170 Aprill,46.0,50.0,1993-08-23 00:00:00,9.0,907.2557,42.28230953107742,-83.80799595417352
68,170 Aprill,46.0,50.0,1995-10-31 00:00:00,8.0,907.2557,42.28230953107742,-83.80799595417352
69,170 Aprill,46.0,50.0,1996-04-02 00:00:00,9.0,907.2557,42.28230953107742,-83.80799595417352
70,170 Aprill,46.0,50.0,2001-07-30 00:00:00,21.0,907.2557,42.28230953107742,-83.80799595417352
